,GROUP,CATEGORY,BUDGET >5 MLN,BUDGET MLN,DATE START PLAN,DATE END PLAN,DURATION PLAN,DURATION >30,COMPLIANCE STRATEGY,AUTHORIZATION,FINISH FACT,REQUIREMENTS LAW,PM NAME,SPONSOR NAME,DAYS
0,KR,USUAL,0,1.23,2016-02-01,2018-01-27,23,0,1,1,1,0,Freya P.,Dave P.,726
1,OB,USUAL,0,1.01,2016-07-10,2020-07-30,48,1,1,1,1,0,George H.,Martin S.,1481
2,KR,USUAL,0,4.12,2019-08-22,2021-12-21,27,0,0,1,1,0,Samuel.J.,Dave P.,852
3,MM,USUAL,0,2.43,2015-04-09,2015-07-06,2,0,1,1,1,0,Noah O.,Fred В.,88
4,OB,USUAL,0,1.01,2014-12-23,2016-07-08,18,0,1,1,1,0,Paige H.,Jerry H.,563
5,MM,USUAL,0,1.01,2015-09-01,2016-02-02,5,0,1,1,0,0,William T.,Michael J.,154
6,MM,USUAL,1,6.29,2015-03-24,2015-06-03,2,0,0,1,1,0,George H.,Brad P.,71
7,РP,USUAL,0,4.52,2015-02-19,2015-08-10,5,0,0,1,1,0,William T.,Martin S.,172
8,MM,USUAL,0,1.13,2015-04-01,2015-12-10,8,0,1,1,1,0,Jacob G.,Jerry H.,253
9,MM,USUAL,0,1.72,2017-01-27,2017-10-31,9,0,1,1,1,0,Jacob G.,Martin S.,277
10,РP,USUAL,0,2.47,2016-06-27,2017-12-29,18,0,1,1,1,0,Charlie S.,Jerry H.,550
11,UB,USUAL,0,1.41,2021-12-13,2022-09-02,8,0,1,1,1,0,Samuel.J.,Chris K.,263
12,UP,USUAL,0,1.01,2020-05-29,2021-02-03,8,0,1,1,1,0,Isabelle U.,Dave P.,250
13,MM,USUAL,0,1.28,2015-06-28,2016-04-17,9,0,0,1,1,0,Noah O.,Dave P.,294
14,РP,USUAL,0,2.04,2015-06-30,2016-12-14,17,0,1,1,1,0,Ellie E.,Fred В.,533
15,РP,USUAL,0,1.78,2015-01-06,2016-04-23,15,0,0,1,0,0,William T.,Dave P.,473
16,KR,USUAL,0,1.14,2015-07-31,2016-02-03,6,0,0,1,1,0,Charlie S.,Dave P.,187
17,РP,USUAL,0,1.01,2015-05-22,2017-11-07,29,0,1,1,1,0,Paige H.,Chris K.,900
18,MM,USUAL,0,1.01,2016-02-27,2022-01-22,70,1,1,1,0,0,William T.,Jerry H.,2156
19,РP,USUAL,0,1.89,2015-07-20,2016-11-07,15,0,1,1,1,0,William T.,Dave P.,476
20,MM,USUAL,0,2.59,2014-06-23,2015-04-17,9,0,0,1,0,0,George H.,Martin S.,298
21,OB,USUAL,0,1.38,2014-06-07,2014-11-10,5,0,0,1,1,0,James D.,Dave P.,156
22,MM,USUAL,0,1.31,2013-12-31,2016-10-20,33,1,1,1,1,0,Ethan K.,Jerry H.,1024
23,РP,STRAT,0,1.03,2014-10-23,2015-02-15,3,0,0,1,1,0,Ethan K.,Dave P.,115
24,FI,STRAT,0,3.09,2014-04-15,2015-06-24,14,0,1,1,1,0,George H.,Dave P.,435
25,MM,USUAL,0,1.01,2015-05-13,2016-06-06,12,0,0,1,0,0,William T.,Dave P.,390
26,KR,USUAL,0,1.01,2015-07-11,2016-10-28,15,0,1,1,1,0,Charlie S.,Jerry H.,475
27,FI,STRAT,0,1.55,2016-01-01,2017-02-24,13,0,1,1,1,0,Ellie E.,Jerry H.,420
28,MM,USUAL,0,3.12,2016-11-18,2018-04-06,16,0,1,0,1,0,Samuel.J.,Fred В.,504
29,РP,USUAL,0,1.32,2016-02-11,2016-04-22,2,0,1,1,1,0,Joseph N.,Dave P.,71
30,UP,STRAT,0,1.01,2022-09-03,2022-11-13,2,0,1,1,1,0,Phoebe F.,Chris K.,71
31,MM,USUAL,1,10.25,2014-09-15,2014-11-25,2,0,1,1,1,0,William T.,Fred В.,71
32,MM,USUAL,0,1.58,2016-01-10,2016-05-03,3,0,1,1,1,0,Chloe L.,Jerry H.,114
33,РP,USUAL,0,1.23,2015-09-06,2016-08-10,11,0,1,1,1,0,William T.,Fred В.,339
34,РP,USUAL,0,1.01,2015-01-29,2019-02-18,48,1,0,1,0,0,Isabelle U.,Bill E.,1481
35,MM,USUAL,0,1.01,2015-01-05,2021-06-06,77,1,1,1,1,0,Noah O.,Dave P.,2344
36,MM,USUAL,0,3.2,2016-03-18,2017-03-07,11,0,1,1,0,0,Maryam E.,Fred В.,354
37,MM,USUAL,0,1.13,2014-07-13,2014-10-10,2,0,1,1,1,0,Jacob G.,Jerry H.,89
38,MM,USUAL,0,1.01,2014-12-27,2018-07-13,42,1,1,1,0,0,Scarlett Y.,Fred В.,1294
39,KR,STRAT,0,1.64,2015-04-17,2015-09-15,4,0,1,1,1,0,Jacob G.,Michael J.,151
40,РP,USUAL,0,1.05,2015-09-03,2015-12-09,3,0,1,1,1,0,Jacob G.,Dave P.,97
