,GROUP,CATEGORY,BUDGET >5 MLN,BUDGET MLN,DATE START PLAN,DATE END PLAN,DURATION PLAN,DURATION >30,COMPLIANCE STRATEGY,AUTHORIZATION,FINISH FACT,REQUIREMENTS LAW,PM NAME,SPONSOR NAME,DAYS
29,FI,STRAT,1,9.27,2014-08-01,2016-09-30,25,0,1,0,0,0,Charlie S.,Kevin М.,791
106,MM,USUAL,0,2.62,2015-09-01,2016-03-31,6,0,1,1,1,0,Alice D.,Chris K.,212
94,РP,USUAL,0,2.52,2016-03-03,2017-03-31,12,0,1,1,1,0,Joshua I.,Dave P.,393
4,РP,USUAL,0,4.34,2020-03-19,2021-10-31,19,0,1,1,1,1,Phoebe F.,Dave P.,591
111,UP,USUAL,0,4.06,2015-11-01,2016-05-31,6,0,1,1,1,0,James D.,Brad P.,212
140,UB,USUAL,0,1.45,2017-04-04,2017-12-29,8,0,0,1,1,0,Alice D.,Bill E.,269
65,MM,USUAL,0,2.93,2015-07-01,2016-02-29,7,0,0,1,1,0,Chloe L.,Chris K.,243
56,OB,USUAL,0,3.12,2017-01-01,2017-11-30,10,0,1,1,1,0,Isabelle U.,Michael J.,333
152,OB,STRAT,1,7.54,2015-08-20,2018-12-31,40,1,1,1,1,0,Bethany S.,Michael J.,1229
125,OB,USUAL,0,4.91,2017-10-02,2017-12-29,2,0,1,1,1,0,Phoebe F.,Michael J.,88
23,OB,USUAL,0,2.15,2015-12-01,2016-11-30,11,0,1,1,1,1,Bethany S.,Gordon D.,365
151,UP,USUAL,0,1.78,2016-04-01,2016-12-30,8,0,1,1,1,0,Maryam E.,Brad P.,273
99,SР,USUAL,0,4.63,2015-10-01,2015-12-31,2,0,1,1,1,1,Bethany S.,Jerry H.,91
69,MM,USUAL,0,4.32,2015-10-10,2016-12-12,14,0,1,1,1,1,Jacob G.,Chris K.,429
30,FI,USUAL,0,2.75,2019-02-15,2020-02-17,12,0,0,1,1,0,Chloe L.,Kevin М.,367
131,UB,USUAL,0,2.48,2017-09-21,2018-06-01,8,0,0,1,1,0,Paige H.,Bill E.,253
77,OB,USUAL,0,1.27,2015-08-01,2016-10-31,15,0,1,1,1,0,Joshua I.,Michael J.,457
142,MM,USUAL,0,2.74,2015-12-24,2017-07-28,19,0,1,1,1,0,Freya P.,Chris K.,582
57,РP,USUAL,0,3.42,2015-01-01,2016-12-30,23,0,1,1,1,0,Samuel.J.,Dave P.,729
80,SР,USUAL,0,2.91,2014-06-01,2016-04-29,22,0,0,1,1,0,Charlie S.,Jerry H.,698
50,РP,USUAL,0,3.22,2015-11-01,2018-09-28,34,1,1,1,1,0,Thomas M.,Dave P.,1062
27,UP,USUAL,0,2.01,2014-11-01,2016-12-30,25,0,1,1,1,0,Alice D.,Brad P.,790
1,SР,USUAL,0,2.55,2015-07-01,2016-08-30,13,0,0,1,1,0,Thomas M.,Jerry H.,426
112,РP,USUAL,0,2.79,2015-11-01,2016-04-29,5,0,1,1,1,0,Thomas M.,Dave P.,180
146,UP,USUAL,0,3.59,2015-02-01,2016-03-31,13,0,1,1,1,0,Alfie R.,Brad P.,424
90,РP,USUAL,0,4.26,2015-10-01,2017-01-31,16,0,1,1,1,0,Phoebe F.,Dave P.,488
49,MM,USUAL,0,2.82,2015-06-04,2016-11-30,17,0,1,1,1,0,Scarlett Y.,Martin S.,545
0,UB,STRAT,1,7.18,2016-06-17,2018-12-28,30,1,1,1,1,1,William T.,Bill E.,924
44,KR,USUAL,0,3.04,2016-03-01,2016-12-31,10,0,1,1,1,1,Noah O.,Fred В.,305
3,UB,STRAT,1,5.53,2015-12-24,2016-12-30,12,0,1,0,0,0,Samuel.J.,Bill E.,372
17,MM,USUAL,0,3.32,2015-09-01,2016-12-30,15,0,0,1,1,0,George H.,Martin S.,486
